🕘️更新时间,#genre#
2025-05-31 18:30:36,http://localhost:8000/live/-3677239761726708720

📺央视频道,#genre#
CCTV-1,http://localhost:8000/live/-3677239761726708720
CCTV-2,http://localhost:8000/live/5962284366563932718
CCTV-2,http://localhost:8000/live/-8048277430393076298
CCTV-2,http://localhost:8000/live/-6961658463989537735
CCTV-3,http://localhost:8000/live/2861875833450805345
CCTV-4,http://localhost:8000/live/4447411805010225875
CCTV-5,http://localhost:8000/live/-4511745018902194160
CCTV-5+,http://localhost:8000/live/3286556388934881176
CCTV-6,http://localhost:8000/live/3277682897770492173
CCTV-8,http://localhost:8000/live/-3359530396200242591
CCTV-9,http://localhost:8000/live/8177153716994526366
CCTV-9,http://localhost:8000/live/4542415104964165553
CCTV-9,http://localhost:8000/live/-7288342384787553643
CCTV-9,http://localhost:8000/live/653358876880541234
CCTV-11,http://localhost:8000/live/-2913841384764553962
CCTV-12,http://localhost:8000/live/8973784957711864661
CCTV-14,http://localhost:8000/live/7400492751436661093
CCTV-16,http://localhost:8000/live/24081578907868441
CCTV-17,http://localhost:8000/live/-3324015405308140907
CETV1,http://localhost:8000/live/7322207975319691523
CETV2,http://localhost:8000/live/620825794531466240
CETV4,http://localhost:8000/live/304226933845460229
CETV4,http://localhost:8000/live/3796256769156961316

📡卫视频道,#genre#
香港卫视,http://localhost:8000/live/-8092084927110811737
北京卫视,http://localhost:8000/live/2059324002012856934
北京卫视,http://localhost:8000/live/2354985920093471529
安徽卫视,http://localhost:8000/live/162145867110480986
东南卫视,http://localhost:8000/live/7511007927157193745
广西卫视,http://localhost:8000/live/7669188388022809030
广西卫视,http://localhost:8000/live/-8335204694560054834
广西卫视,http://localhost:8000/live/-5012860085382078347
广西卫视,http://localhost:8000/live/7606347150535645158
贵州卫视,http://localhost:8000/live/4419034809390722518
河南卫视,http://localhost:8000/live/967751979025578992
河南卫视,http://localhost:8000/live/4779266817232791601
辽宁卫视,http://localhost:8000/live/2798987558700865421
宁夏卫视,http://localhost:8000/live/-4259218580639792831
山东卫视,http://localhost:8000/live/-194083877315830460
山东卫视,http://localhost:8000/live/8125211549743618582
山东卫视,http://localhost:8000/live/-764309244903567018
陕西卫视,http://localhost:8000/live/5986379199662637808
四川卫视,http://localhost:8000/live/810188089356941301
三沙卫视,http://localhost:8000/live/-8395396294550824496
三沙卫视,http://localhost:8000/live/782723130272417249
天津卫视,http://localhost:8000/live/-4378969696934142879
天津卫视,http://localhost:8000/live/5864253233514645758
天津卫视,http://localhost:8000/live/897632968422430938
天津卫视,http://localhost:8000/live/3770385425983900640
新疆卫视,http://localhost:8000/live/2776323562986649512
新疆卫视,http://localhost:8000/live/-3896385092922437833
云南卫视,http://localhost:8000/live/-1359881844586904234
云南卫视,http://localhost:8000/live/5991864030683350975

☘️浙江频道,#genre#
浙江钱江,http://localhost:8000/live/7961242299468816746
浙江生活,http://localhost:8000/live/1738929823232132030
浙江少儿,http://localhost:8000/live/-722963346752539031
浙江少儿,http://localhost:8000/live/7726600332098918382
浙江国际,http://localhost:8000/live/2770411683010011467

🌊港·澳·台,#genre#
翡翠台,http://localhost:8000/live/2671084923606854516
J2,http://localhost:8000/live/7017368353629323999
Viutv,http://localhost:8000/live/4832299529054936849

☘️福建频道,#genre#
厦门卫视,http://localhost:8000/live/-5893139274059926166
福州少儿,http://localhost:8000/live/-1537459907855233023
福州生活,http://localhost:8000/live/-551982021779076662
福州综合,http://localhost:8000/live/8732430334113943917

💰央视付费频道,#genre#

🎬电影频道,#genre#
淘剧场,http://localhost:8000/live/2071809887820582999
淘娱乐,http://localhost:8000/live/-8849573637584142335
淘电影,http://localhost:8000/live/6492397339709326169
淘电影,http://localhost:8000/live/-3029215079313765989
经典电影,http://localhost:8000/live/8046780839908517095
无线星河,http://localhost:8000/live/4111367902891430721

🏀体育频道,#genre#
睛彩篮球,http://localhost:8000/live/3920802714446138302
魅力足球,http://localhost:8000/live/7397582072342213201
